sector,GRANTEE,AMOUNT COMMITTED,percentage
growth,Ann Arbor District Library,80778.0,0.0
growth,Arkansas River Valley Regional Library,80562.0,0.0
growth,Muskegon County Library,80540.0,0.0
education,Beauregard Parish Library,80353.0,0.0
health,Gudina Tumsa Foundation,80000.0,0.0
others,Totem Star,80000.0,0.0
education,"Brigham and Women's Hospital, Inc.",80000.0,0.0
equality,Allied Media Projects Inc.,80000.0,0.0
others,The Desmond and Leah Tutu Legacy Foundation,80000.0,0.0
equality,Americans for UNFPA,80000.0,0.0
others,Voices of Tomorrow,80000.0,0.0
health,Meningitis Research Foundation,80000.0,0.0
equality,Southeast Effective Development,80000.0,0.0
education,"Advanced Programs Initiative, Inc.",80000.0,0.0
growth,Abilene Public Library,79973.0,0.0
growth,Arlington Public Library System,79973.0,0.0
education,Troy Public Library,79924.0,0.0
education,Tuscaloosa Public Library,79914.0,0.0
growth,McComb Public Library,79677.0,0.0
education,Pioneer Library System,79500.0,0.0
education,Polk County Library Cooperative,79500.0,0.0
education,North Olympic Library System,79480.0,0.0
growth,Okefenokee Regional Library System,79470.0,0.0
growth,Chula Vista Public Library-Civic Center,79375.0,0.0
growth,Houston County Public Library,79365.0,0.0
education,Centre Co Fed Of Pub Libraries,79050.0,0.0
education,Union City Public Library,78934.0,0.0
growth,Lee County Library System,78875.0,0.0
growth,Citrus County Library System,78815.0,0.0
growth,CLOC Regional Library,78663.0,0.0
health,Almac Clinical Services LLC,78624.0,0.0
education,Eugene Public Library,78495.0,0.0
education,Jefferson County Lib System,78487.0,0.0
health,International Union of Immunological Societies (IUIS),78326.0,0.0
education,Camden County Library District,78320.0,0.0
growth,Central Library,78319.0,0.0
education,Independence Public Library,78201.0,0.0
growth,Phoenix Public Library,78200.0,0.0
education,San Jose Public Library,78000.0,0.0
education,Library System Of Lancaster Co,78000.0,0.0
education,Harris County Public Library,78000.0,0.0
growth,Contra Costa County Library,77950.0,0.0
education,"University of California, Santa Barbara",77761.0,0.0
education,Harford County Public Library,77640.0,0.0
growth,Palm Beach County Library System,77620.0,0.0
others,Americans for UNFPA,77500.0,0.0
education,"Engineering Conferences International, Inc.",77500.0,0.0
education,Sullivan County Public Library,77433.0,0.0
others,Congressional Hunger Center,77081.0,0.0
education,TEP LEARNigeria Initiative,76991.0,0.0
education,Lincoln City Libraries,76955.0,0.0
health,Zagaya,76817.0,0.0
education,Hualapai Training Center,76763.0,0.0
education,Elko-Lander-Eureka County Library System,76689.0,0.0
growth,Salinas Public Library,76578.0,0.0
growth,Oceanside Public Library,76578.0,0.0
education,Washington County Library,75995.0,0.0
education,Adams County Library System,75995.0,0.0
education,Cecil County Public Library,75865.0,0.0
education,Brunswick County Library,75764.0,0.0
growth,"Touch Health, Inc.",75746.0,0.0
education,Washington Parish Library,75652.0,0.0
education,University of Mauritius,75405.0,0.0
growth,Mason County Public Library,75345.0,0.0
growth,Osceola County Library System,75138.0,0.0
education,Lynchburg Public Library,75134.0,0.0
others,The School for Moral Ambition,75000.0,0.0
health,National Committee Against AIDS,75000.0,0.0
education,DC Public Education Fund,75000.0,0.0
growth,Salvation Army & Its Components,75000.0,0.0
education,Western Interstate Commission for Higher Education,75000.0,0.0
education,Congressional Hispanic Leadership Institute Inc.,75000.0,0.0
education,Dira Sengwe Conferences,75000.0,0.0
equality,Water Research Commission,75000.0,0.0
others,Hummingbird Indigenous Family Services,75000.0,0.0
growth,BMe Community,75000.0,0.0
others,Funders Concerned About AIDS,75000.0,0.0
others,North Carolina Community Foundation Inc,75000.0,0.0
others,World Affairs Council of Northern California,75000.0,0.0
education,National Charter Collaborative,75000.0,0.0
others,Next Chapter,75000.0,0.0
equality,Congressional Black Caucus Foundation Inc,75000.0,0.0
education,Florida College System Foundation Inc.,75000.0,0.0
others,Global Leadership Foundation USA,75000.0,0.0
education,Empowerk12 Inc.,75000.0,0.0
health,"National Conference of Editorial Writers Foundation, Inc.",75000.0,0.0
growth,Impact Guild Inc,75000.0,0.0
education,European Scientific Working Group on Influenza,75000.0,0.0
health,Sociedade Brasileira de Medicina Tropical,75000.0,0.0
others,College Success Foundation - District of Columbia,75000.0,0.0
others,Refugee Artisan Initiative,75000.0,0.0
others,Conexion Americas,75000.0,0.0
education,"Teach Plus, Incorporated",75000.0,0.0
growth,DC Office of the State Superintendent of Education,75000.0,0.0
others,Millennia Ministries,75000.0,0.0
education,Fulbright Association,75000.0,0.0
others,"Oasis Home, Oasis Courtyard, and Oasis At Allenmore",75000.0,0.0
education,Maricopa County Library District,75000.0,0.0
education,Public Library of Charlotte & Mecklenburg Co.,75000.0,0.0
others,One Young World U.S.,75000.0,0.0
others,African Americans Reach & Teach Health Ministry,75000.0,0.0
education,"Association for Career and Technical Education, Inc",75000.0,0.0
education,"Center for Effective Philanthropy, Inc.",75000.0,0.0
equality,Postsecondary National Policy Institute,75000.0,0.0
equality,ReSViNET Foundation,75000.0,0.0
health,Ghanaian-Diaspora Nursing Alliance Incorporated,75000.0,0.0
equality,Pew Charitable Trusts,75000.0,0.0
others,The Foundation for Aids Research,75000.0,0.0
health,Social Impact Exchange,75000.0,0.0
health,The Tamilnadu Dr MGR Medical University,75000.0,0.0
others,Media Impact Funders,74986.0,0.0
equality,National Center for Family Philanthropy,74980.0,0.0
growth,Satilla Regional Library System,74925.0,0.0
growth,Ocmulgee Regional Library System,74925.0,0.0
others,The Annenberg Foundation Trust at Sunnylands,74923.0,0.0
education,Meadville Library Art and Historical Association,74870.0,0.0
education,Wythe-Grayson Regional Library,74862.0,0.0
growth,Brooklyn Public Library,74800.0,0.0
education,Avoyelles Parish Library,74792.0,0.0
education,Vermilion Parish Library,74759.0,0.0
education,Research Foundation for the State University of New York,74695.0,0.0
education,Wayne Public Library,74615.0,0.0
equality,Crownpoint Institute of Technology,74106.0,0.0
education,Dunklin County Library,73900.0,0.0
growth,Shasta County Library,73887.0,0.0
education,Orange County Library District,73500.0,0.0
education,Meigs County District Public Library,73432.0,0.0
education,Brown County Public Library,73432.0,0.0
education,Highland County District Library,73432.0,0.0
growth,John F. Kennedy Library,73118.0,0.0
education,Paulding County Carnegie Library,72765.0,0.0
growth,Serramonte Library,72754.0,0.0
growth,H. B. Stamps Memorial Library,72732.0,0.0
growth,Pahle India Foundation,72600.0,0.0
education,Caroline County Public Library,72530.0,0.0
others,University of Dar es Salaam,72450.0,0.0
growth,Faulkner-Van Buren Regional Library,72283.0,0.0
education,Sabine Parish Library,72011.0,0.0
education,Stanislaus County Free Library,72000.0,0.0
education,Bucks County Free Library,72000.0,0.0
health,Inha University Research and Business Foundation,71979.0,0.0
education,Southside Regional Library,71854.0,0.0
education,Durango Public Library,71791.0,0.0
equality,Pan-African Mosquito Control Association (PAMCA),71616.0,0.0
health,Photonic Sentry Labs,71573.0,0.0
others,Foundation for Early Learning,71491.0,0.0
education,Samuel S. Pollard Memorial Library,71340.0,0.0
education,U.S. Virgin Islands Government/Dept. of Planning and Natural Resources,71115.0,0.0
equality,Dine College (Main Campus Tsaile),70991.0,0.0
education,Bossier Parish Library,70974.0,0.0
others,George Mason University,70828.0,0.0
education,Spokane County Library District,70685.0,0.0
education,Minneapolis Public Library,70500.0,0.0
health,International Society for Developmental Origins of Health and Disease,70424.0,0.0
growth,Pine Mountain Regional Library,70416.0,0.0
growth,Uncle Remus Regional Library,70416.0,0.0
growth,Ohoopee Regional Library System,70416.0,0.0
growth,South Georgia Regional Library,70416.0,0.0
others,The Institute of Development Studies,70365.0,0.0
growth,Kent District Library,70295.0,0.0
health,ChemPartner,70280.0,0.0
education,Boonville-Warrick County Public Library,70253.0,0.0
education,Sterling Public Library,70176.0,0.0
education,Wageningen University,70000.0,0.0
growth,Independent Sector,70000.0,0.0
others,Seattle Indian Health Board,70000.0,0.0
health,Stichting Open Access Scholarly Publishers Association,70000.0,0.0
education,Winnefox Library System,69916.0,0.0
others,Impatience Ltd,69914.0,0.0
education,Fort McDowell H-Man Day School Computer Lab,69765.0,0.0
others,Child Care Resources,69580.0,0.0
growth,Flint Public Library,69332.0,0.0
education,Puskarich Public Library,69049.0,0.0
education,Anchorage Municipal Libraries,69040.0,0.0
education,Brevard County Library System,69000.0,0.0
education,Gaston-Lincoln Regional Library,68948.0,0.0
growth,Quitman Public Library,68869.0,0.0
education,Erie County Public Library,68785.0,0.0
education,Pointe Coupee Parish Library,68674.0,0.0
education,Plymouth Public Library,68666.0,0.0
education,Fairfield County District Library,68482.0,0.0
education,Warren-Trumbull County Public Library,68482.0,0.0
growth,Hernando County Public Library System,68401.0,0.0
education,Adams County Public Library,68182.0,0.0
education,The William Davidson Institute at the University of Michigan,68064.0,0.0
growth,Nashville Public Library System,68050.0,0.0
education,Camas Public Library,68039.0,0.0
health,CollaborateUp,67911.0,0.0
growth,Pike County Public Library District,67905.0,0.0
growth,Salt Lake County Library System,67900.0,0.0
growth,El Paso Public Library,67900.0,0.0
education,Arlington County Public Library,67884.0,0.0
growth,Martin County Public Library,67525.0,0.0
growth,Smith College,67496.0,0.0
education,Little Dixie Regional Libraries,67370.0,0.0
growth,Show Low Public Library,67365.0,0.0
growth,Cass District Library,67301.0,0.0
growth,Farmington Public Library,67227.0,0.0
education,Yonkers Public Library,67215.0,0.0
growth,Tempe Public Library,67015.0,0.0
growth,Solano County Library,66700.0,0.0
education,Grant Parish Library,66698.0,0.0
education,Muncie Center Township Public Library,66582.0,0.0
growth,Anaheim Public Library,66550.0,0.0
education,Onslow County Public Library,66482.0,0.0
growth,Hudson Regional Library,66457.0,0.0
education,Snyder County Library System,66429.0,0.0
others,International Centre for Genetic Engineering and Biotechnology - India,66400.0,0.0
education,Simmons College,66240.0,0.0
education,Silas Bronson Library,66230.0,0.0
education,Easton Area Public Library,66199.0,0.0
growth,Craighead County/Jonesboro Public Library (Crowley Ridge),66174.0,0.0
education,Sampson-Clinton Public Library,66113.0,0.0
equality,Rigpe Dorje Foundation,66000.0,0.0
education,Stockton-San Joaquin County Public Library,66000.0,0.0
growth,Mesquite Public Library,65865.0,0.0
growth,Richton Public Library,65830.0,0.0
education,Tazewell County Public Library,65793.0,0.0
health,Eastern Virginia Medical School,65769.0,0.0
growth,Mendocino County Library,65697.0,0.0
education,Rockford Public Library,65425.0,0.0
growth,Mountain Regional Library,65052.0,0.0
equality,Restless Development USA Inc.,65000.0,0.0
others,Seattle Children's Hospital Foundation,65000.0,0.0
others,PACE,65000.0,0.0
growth,Raleigh County Public Library,64926.0,0.0
education,Palm Beach County Library System,64900.0,0.0
health,International Atomic Energy Agency,64697.0,0.0
growth,North Arkansas Regional Library,64573.0,0.0
education,Volusia County Public Library,64500.0,0.0
growth,Linebaugh Public Library,64463.0,0.0
growth,Public Libraries Of Saginaw,64432.0,0.0
education,Lawrence Public Library,64355.0,0.0
growth,Central Branch Library (Santa Cruz Public),64252.0,0.0
education,Memphis Education Fund,64000.0,0.0
education,Wayne Library Authority,63951.0,0.0
growth,Lewis and Clark Library,63865.0,0.0
health,Afghanistan Analysts Network,63635.0,0.0
growth,Sullivan County Public Library,63452.0,0.0
others,"Global Business Coalition on HIV/AIDS, TB & Malaria",63360.0,0.0
education,Somerset County Library,63300.0,0.0
health,EOOS NEXT GmbH,63250.0,0.0
others,ASEAN Foundation,63217.0,0.0
growth,Suwannee River Regional Library System,63158.0,0.0
education,Avery-Mitchell-Yancey Regional Library,63132.0,0.0
others,Global Child Nutrition Foundation Inc.,63000.0,0.0
education,"Kansas City, Kansas Public Library",62760.0,0.0
education,Farmville Public Library,62615.0,0.0
growth,"The Library of Hattiesburg, Petal & Forrest County",62476.0,0.0
equality,Centre for Budget and Policy Studies,62473.0,0.0
education,Southern Teller County Library District,62282.0,0.0
growth,Ector County Library,62167.0,0.0
education,Emery County Library,62151.0,0.0
growth,Leon County Public Library System,61995.0,0.0
growth,York County Library System,61950.0,0.0
growth,Prince George's County Memorial Library,61950.0,0.0
education,Somerset County Fed Library System,61793.0,0.0
education,Lawrenceburg Public Library,61752.0,0.0
growth,Longview Public Library,61684.0,0.0
growth,Midland County Public Library,61615.0,0.0
growth,Lovett Memorial Library - Pampa,61615.0,0.0
growth,Pasadena Public Library,61615.0,0.0
education,Rowan Public Library,61615.0,0.0
growth,Victoria Public Library,61615.0,0.0
growth,Grand Prairie Memorial Library,61615.0,0.0
others,Global Partnerships,61585.0,0.0
education,Preble County District Library,61482.0,0.0
education,Frankfort Community Public Library,61476.0,0.0
education,Tiffin-Seneca Public Library,61476.0,0.0
education,Jeffersonville Township Public Library,61476.0,0.0
education,Porter County Public Library System,61476.0,0.0
education,Marion Public Library,61476.0,0.0
education,New Castle-Henry County Public Library,61476.0,0.0
education,Sandusky Library,61476.0,0.0
growth,Scottsdale Public Library,61415.0,0.0
education,Gloucester County Library System,61410.0,0.0
education,Atlantic City Free Public Library,61410.0,0.0
growth,Sutter County Library,61309.0,0.0
growth,Flathead County Library,61257.0,0.0
education,Free Library Of Philadelphia,61000.0,0.0
education,Evangeline Parish Library,60723.0,0.0
education,Ohio State University,60500.0,0.0
education,Lake County Public Library,60487.0,0.0
education,Massillon Public Library,60224.0,0.0
growth,Organization for Public Health Interventions and Development,60024.0,0.0
others,WA Family Engagement,60000.0,0.0
others,Robin Hood Foundation,60000.0,0.0
education,Fund for America's Libraries,60000.0,0.0
others,Project Concern International,60000.0,0.0
education,Center for Community Service Fund,60000.0,0.0
others,American Academy of Arts and Sciences,60000.0,0.0
education,Dayton Metro Library,60000.0,0.0
education,International Health Economics Association,60000.0,0.0
equality,Gordon Research Conferences,60000.0,0.0
others,Cancer Lifeline of King County,60000.0,0.0
health,University of Limpopo,60000.0,0.0
health,"Ministry of Urban Development, Government of Nepal",60000.0,0.0
others,Yukon Department of Education,59885.0,0.0
education,La Plaza Telecommunity,59841.0,0.0
education,International Centre for Biosaline Agriculture,59761.0,0.0
education,Davenport Public Library,59600.0,0.0
others,Children's Alliance,59580.0,0.0
health,"Likarda, Inc.",59498.0,0.0
education,Pamunkey Regional Library,59303.0,0.0
education,Tillamook County Library,59255.0,0.0
growth,Beaufort County Library,59036.0,0.0
growth,Fort Vancouver Regional Library,59000.0,0.0
others,University of California San Francisco,58849.0,0.0
education,Oglala Lakota College Learning Resource Center,58845.0,0.0
education,Carbon County Library System,58835.0,0.0
growth,Chickasaw Regional Library System,58825.0,0.0
education,Pueblo of Cochiti,58770.0,0.0
education,Joeten-Kiyu Public Library,58720.0,0.0
education,Hyconeechee Regional Library,58581.0,0.0
growth,Collier County Public Library,58581.0,0.0
education,Greenville County Library System,58500.0,0.0
equality,Southwestern Indian Polytechnic Institute,58477.0,0.0
others,MSI Reproductive Choices,58334.0,0.0
education,Nottoway County Public Library System,58301.0,0.0
education,Lincoln Library,58120.0,0.0
education,Rio Grande Library District,58067.0,0.0
health,Technical University of Mombasa,58064.0,0.0
health,"Center for Open Science, Inc.",58000.0,0.0
health,Sheba Fund for Health Services and Research,57986.0,0.0
growth,Tehama County Library,57943.0,0.0
education,Harrison Regional Library System,57843.0,0.0
growth,Downey City Library,57815.0,0.0
growth,Pomona Public Library,57815.0,0.0
education,Martin County Library,57797.0,0.0
growth,White County Public Library,57571.0,0.0
education,Lycoming County Library System,57520.0,0.0
health,Australian Society of Parasitology,57500.0,0.0
others,Miriam's Kitchen,57500.0,0.0
health,Université libre de Bruxelles,57431.0,0.0
growth,George W. Covington Memorial Library,57393.0,0.0
growth,Saint Louis County Library,57350.0,0.0
education,Hutchinson Public Library|S Central KS Lib System,57272.0,0.0
equality,College of Basic and Applied Sciences,57135.0,0.0
growth,Putnam County Public Library,56985.0,0.0
growth,Northeast Arkansas Regional Library,56963.0,0.0
growth,St. Johns County Public Library,56903.0,0.0
education,University of South Carolina,56834.0,0.0
health,Foundation International One Health Congress,56825.0,0.0
education,Taos Pueblo,56824.0,0.0
others,Teen Feed,56666.0,0.0
education,Mesa County Public Library District,56585.0,0.0
growth,Wharton County Library,56549.0,0.0
growth,Fullerton Main Library,56515.0,0.0
education,Henderson District Public Libraries,56500.0,0.0
others,Keep a Child Alive,56500.0,0.0
growth,Santa Monica Public Library,56429.0,0.0
growth,Shiawassee County Library,56292.0,0.0
growth,"Eiger BioPharmaceuticals, Inc.",56261.0,0.0
growth,Yolo County Library,56253.0,0.0
education,Ozark Regional Library,56235.0,0.0
education,Campbell County Public Library,56149.0,0.0
education,Portland Public Library,56100.0,0.0
education,Steele Memorial Library Association,56074.0,0.0
education,Great Bend Public Library|Central KS Lib System,56017.0,0.0
growth,Coastal Plain Regional Library,56007.0,0.0
growth,Orange County Public Library,56000.0,0.0
growth,Tate Americas Foundation,56000.0,0.0
growth,Ontario City Library,55984.0,0.0
education,Logan County District Library,55982.0,0.0
education,Kalamazoo Public Library,55900.0,0.0
growth,Morgantown Public Library,55746.0,0.0
education,Jasper Public Library (Carl Elliott Regional),55744.0,0.0
growth,Boone County Public Library,55715.0,0.0
health,Jugend Forscht,55650.0,0.0
others,Rising Leaders Inc.,55500.0,0.0
education,Bladen County Public Library,55350.0,0.0
education,Longmont Public Library,55181.0,0.0
education,Hibbing Public Library,55181.0,0.0
education,Orange County Public Library,55179.0,0.0
growth,Northeastern University,55177.0,0.0
education,Bayer Cares Foundation,55135.0,0.0
education,Petersburg Public Library System,55074.0,0.0
education,Poughkeepsie Public Library District,55074.0,0.0
education,Charlestown Clark County Public Library,55074.0,0.0
health,International Crisis Group,55000.0,0.0
others,Group Health Foundation,55000.0,0.0
others,CSU Ventures,55000.0,0.0
others,Somali Family Safety Task Force,55000.0,0.0
health,EFFEKTIV ALTRUISME NORGE,54967.0,0.0
growth,Boise Public Library,54847.0,0.0
education,Rockbridge Regional Library,54790.0,0.0
education,Clinton Public Library,54605.0,0.0
education,McDowell County Public Library,54561.0,0.0
education,Elizabeth Public Library,54475.0,0.0
education,Marathon County Public Library,54395.0,0.0
health,American College of Obstetricians and Gynecologists,54332.0,0.0
education,Finney County Public Library,54252.0,0.0
others,Tufts University,54230.0,0.0
education,West New York Public Library,54221.0,0.0
growth,Lake Blackshear Regional Library,54153.0,0.0
education,Irvington Public Library,54083.0,0.0
education,Provo City Library,54045.0,0.0
education,Mifflin County Library,54030.0,0.0
education,Richland County Public Library,54000.0,0.0
education,Wichita Public Library,54000.0,0.0
education,Granville County Library System,53882.0,0.0
education,"Caroline Library, Inc.",53851.0,0.0
education,Eastern Shore Public Library,53790.0,0.0
growth,Cadillac-Wexford County Public Library,53689.0,0.0
growth,Plano Public Library System,53645.0,0.0
education,Morehouse Parish Library,53518.0,0.0
education,University of Kentucky Research Foundation,53501.0,0.0
education,Science Museum Group,53215.0,0.0
growth,Riverside Public Central Library,53215.0,0.0
education,Children's Hospital & Research Center at Oakland,52983.0,0.0
education,Charlotte County Library,52785.0,0.0
growth,Fort Worth Public Library,52750.0,0.0
education,Middletown Thrall Library,52658.0,0.0
growth,Bridgeport Public Library,52635.0,0.0
education,Centralia Regional Library District,52581.0,0.0
education,LaGrange County Public Library,52574.0,0.0
education,Allentown Public Library,52525.0,0.0
education,Ventura County Library Services Agency,52500.0,0.0
growth,Nankai University,52500.0,0.0
growth,Lake County Library,52448.0,0.0
education,"Jones Library, Inc.",52355.0,0.0
others,Global Sepsis Alliance,52325.0,0.0
education,St. Charles Parish Library,52322.0,0.0
education,River Bluffs Regional Library,52290.0,0.0
others,University of Cape Town,52248.0,0.0
education,Dodge City Public Library|SW KS Library System,52174.0,0.0
growth,Florence County Library,52034.0,0.0
education,Appleton Public Library,52015.0,0.0
education,Racine Public Library,52015.0,0.0
growth,Marjorie W. Mc Crary Public Library,51967.0,0.0
education,Frederick County Public Libraries,51965.0,0.0
growth,Huntington Beach Library,51915.0,0.0
others,New Futures,51840.0,0.0
education,Wayne County Public Library,51774.0,0.0
education,Danville Public Library,51711.0,0.0
others,The Rotary Foundation of Rotary International,51700.0,0.0
education,Fall River Public Library,51625.0,0.0
education,Lee County Library,51591.0,0.0
education,International Non-governmental Organisation Training and Research Centre,51559.0,0.0
education,Cumberland County Library,51543.0,0.0
health,St. Luke's Church Corporation,51500.0,0.0
growth,Lapeer County Library,51471.0,0.0
education,Prince William Public Library System,51426.0,0.0
growth,El Dorado County Library,51384.0,0.0
education,Brooklyn Public Library,51322.0,0.0
education,West Frankfort Public Library,51310.0,0.0
education,Tuscarawas County Public Library,51274.0,0.0
education,Roanoke County Public Library,51176.0,0.0
health,Virology Education,51175.0,0.0
education,Hammond Public Library,51159.0,0.0
growth,McDowell County Public Library,51096.0,0.0
health,Foundation for Control of HIV Drug Resistance,51001.0,0.0
education,Pikes Peak Library District,51000.0,0.0
others,Seattle International Foundation,51000.0,0.0
growth,Benson Public Library,50811.0,0.0
growth,Fairfax County Public Library,50800.0,0.0
growth,1% For The Planet,50658.0,0.0
education,St. Martin Parish Library,50537.0,0.0
education,Madison County Public Library,50444.0,0.0
education,Nashville Public Education Foundation,50400.0,0.0
growth,Greenup County Public Library,50397.0,0.0
growth,Orangeburg County Library,50385.0,0.0
education,Brownsville Public Library,50300.0,0.0
health,Cytel Canada Health Inc.,50200.0,0.0
education,Pueblo of Pojoaque,50142.0,0.0
education,Lorain Public Library System,50124.0,0.0
education,Jefferson Davis Parish Library,50097.0,0.0
growth,International Union for the Scientific Study of Population,50043.0,0.0
others,The Project for Modern Democracy,50027.0,0.0
growth,Shining Hope for Communities Inc.,50025.0,0.0
health,Mexican Association of Parasitology,50020.0,0.0
education,Project VOYCE,50011.0,0.0
education,Law College Association of the University of Arizona,50000.0,0.0
others,The Library of Congress,50000.0,0.0
equality,Washington Regional Association of Grantmakers,50000.0,0.0
equality,Washington Area Womens Foundation Inc.,50000.0,0.0
others,Grantmakers in Aging Inc,50000.0,0.0
others,The Filmmakers Collaborative,50000.0,0.0
equality,Formidable Joy,50000.0,0.0
equality,FemAgora Central Asia,50000.0,0.0
health,"Institute of Nutrition, Universidade Federal do Rio de Janeiro",50000.0,0.0
equality,International Union for the Scientific Study of Population,50000.0,0.0
others,DemocracyLab,50000.0,0.0
others,MMV Medicines for Malaria Venture,50000.0,0.0
education,T4 Education,50000.0,0.0
health,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",50000.0,0.0
health,Addy Kassova Audience Strategy Ltd.,50000.0,0.0
equality,Ewha University-Industry Collaboration Foundation,50000.0,0.0
equality,Wotesawa Domestic Workers Organisation,50000.0,0.0
others,Impact Santé Afrique,50000.0,0.0
education,Social Venture Partners,50000.0,0.0
equality,COPPER ROSE ZAMBIA,50000.0,0.0
others,Fulcrum Foundation,50000.0,0.0
growth,Red Cross Society of China,50000.0,0.0
equality,The International Youth Alliance for Family Planning,50000.0,0.0
equality,The Texas Tribune,50000.0,0.0
equality,Access Planet Organization,50000.0,0.0
growth,East African Center for the Empowerment of Women and Children,50000.0,0.0
health,Beninese Medicines Agency,50000.0,0.0
health,Australasian Society for HIV Medicine,50000.0,0.0
education,Raikes Foundation,50000.0,0.0
equality,The Hijabi Mentorship Program,50000.0,0.0
health,Universidade Católica de Santos,50000.0,0.0
health,Centre National de Formation et de Recherche en Santé Rurale de Maferinyah,50000.0,0.0
education,Pascua Yaqui Education Department,50000.0,0.0
equality,Womens World Banking,50000.0,0.0
education,"CollegeCorps, Inc.",50000.0,0.0
others,Centre for Development and Population Activities,50000.0,0.0
health,Women's Congressional Policy Institute,50000.0,0.0
others,One by One,50000.0,0.0
growth,Fund for International Conference of Agricultural Economists,50000.0,0.0
education,Museum of History & Industry (MOHAI),50000.0,0.0
equality,"University of Kansas Center for Research, Inc.",50000.0,0.0
others,Brazilian Institute of Geography and Statistics,50000.0,0.0
equality,Freedom Inc.,50000.0,0.0
others,International Pharmaceutical Federation,50000.0,0.0
health,Novartis Pharmaceuticals Corporation,50000.0,0.0
others,"Harlem Children's Zone, Inc.",50000.0,0.0
education,Beijing Enjiu Non-Profit Organization Development Research Center,50000.0,0.0
others,St. Thomas School,50000.0,0.0
health,"Independent Television Service, Inc.",50000.0,0.0
health,Margarida Matsinhe,50000.0,0.0
education,Grand Valley State University,50000.0,0.0
growth,Association of Small Foundations,50000.0,0.0
others,Washington State Law Enforcement Memorial Foundation,50000.0,0.0
health,"Funders for Lesbian and Gay Issues, Inc.",50000.0,0.0
education,Ancient Egypt Research Associates,50000.0,0.0
education,International Vaccine Institute,50000.0,0.0
education,uAspire,50000.0,0.0
education,Assembly International Relations Foundation,50000.0,0.0
health,Dr. G.M. Taori Central India Institute of Medical Sciences (CIIMS),50000.0,0.0
others,Beijing Normal University,50000.0,0.0
others,Somos Mujeres Latinas Washington,50000.0,0.0
education,Benton Foundation,50000.0,0.0
others,"Funders Together to End Homelessness, Inc.",50000.0,0.0
health,Fundação Universidade do Maranhão,50000.0,0.0
education,Universidade Nova de Lisboa,50000.0,0.0
education,Global Impact,50000.0,0.0
education,Biophysical Society,50000.0,0.0
education,Marine Corps Scholarship Foundation Inc,50000.0,0.0
equality,Real Change Homeless Empowerment Project,50000.0,0.0
others,FIT-ED,50000.0,0.0
education,The Scholarship Academy,50000.0,0.0
education,Schott Foundation,50000.0,0.0
health,"Gravity Tank, Inc",50000.0,0.0
education,"Society for Mucosal Immunology, Inc.",50000.0,0.0
others,The Walter and Eliza Hall Institute of Medical Research,50000.0,0.0
others,Grantmakers Concerned with Immigrants and Refugees,50000.0,0.0
health,Universidad Mayor de San Andrés,50000.0,0.0
health,Dr. Asm Amjad Hossain,50000.0,0.0
education,Indraprastha Institute of Information Technology Delhi,50000.0,0.0
health,Paratus Diagnostics,50000.0,0.0
health,"Universidade Federal do Ceará, UFC",50000.0,0.0
health,International Society for Equity in Health ISEqH,50000.0,0.0
equality,Fundacion Barranquilla +20,49999.0,0.0
equality,Stand With A Girl Initiative,49999.0,0.0
education,Red Onion,49995.0,0.0
others,"Impact Audit Partners, Inc.",49989.0,0.0
equality,Stichting Choice for Youth and Sexuality,49967.0,0.0
education,Wisconsin Valley Library Service,49942.0,0.0
health,Tangen Biosciences,49864.0,0.0
education,Pittsburg Public Library,49735.0,0.0
health,National Democratic Institute for International Affairs (NDI),49730.0,0.0
education,Sidney Memorial Public Library,49724.0,0.0
health,International Union Against Cancer,49705.0,0.0
growth,Martinsburg-Berkeley Cnty Public Library,49695.0,0.0
health,Grassroot Soccer Inc,49678.0,0.0
health,Royal African Society,49612.0,0.0
growth,Thomas County Public Library,49608.0,0.0
growth,Kinchafoonee Regional Library,49608.0,0.0
education,Briggs Lawrence County Public Library System,49532.0,0.0
education,Pueblo of Acoma,49502.0,0.0
health,Academy of Nutrition and Dietetics Foundation,49450.0,0.0
health,"Real Life Sciences, LLC",49395.0,0.0
education,Fremont County Library System,49385.0,0.0
growth,Union County Library,49380.0,0.0
health,Dushtha Shasthya Kendra (DSK),49341.0,0.0
growth,Oconee County Library,49316.0,0.0
education,Walla Walla Public Library,49285.0,0.0
education,Long Branch Free Public Library,49285.0,0.0
education,Weber County Library System,49285.0,0.0
education,Atlantic County Library,49285.0,0.0
health,Real Instituto Elcano,49236.0,0.0
education,Lynn Public Library,49145.0,0.0
education,Ellensburg Public Library,48960.0,0.0
education,Woodbury Public Library,48891.0,0.0
education,Elyria Public Library,48854.0,0.0
growth,Madison County Library System,48805.0,0.0
growth,Dade County Public Library,48789.0,0.0
growth,Clayton County Library System,48789.0,0.0
growth,Bartow County Public Library System,48789.0,0.0
growth,Boone-Madison Public Library,48771.0,0.0
health,University of Brasilia,48702.0,0.0
education,Boulder Public Library,48465.0,0.0
education,Jackson County Public Library,48429.0,0.0
health,Friz Biochem,48413.0,0.0
growth,St. Petersburg Public Library,48324.0,0.0
growth,Auburn-Placer County Library,48270.0,0.0
education,Carnegie Public Library,48201.0,0.0
others,Mockingbird Society,48166.0,0.0
education,LE Phillips Memorial Public Library,48045.0,0.0
