sector,GRANTEE,AMOUNT COMMITTED,percentage
health,University of Pittsburgh,48903132.0,0.08
equality,New Venture Fund,48337148.0,2.75
health,BBC Media Action,48183972.0,0.08
growth,Deutsche Investitions- und Entwicklungsgesellschaft mbH,47643478.0,0.45
health,WHO-IARC (International Agency for Research on Cancer),47274139.0,0.08
health,University of Notre Dame,47190148.0,0.08
health,Boston University,47126337.0,0.08
health,Charity Projects,47019950.0,0.08
health,Technical Advice Connect LTD/GTE,46957178.0,0.08
others,Center for US Global Leadership,46806502.0,1.3
health,Deutsche Stiftung Weltbevoelkerung,46697684.0,0.08
health,INDEPTH Network,46656816.0,0.08
health,African Field Epidemiology Network,46577480.0,0.08
health,International Planned Parenthood Federation European Network,46440012.0,0.07
health,"Center for Strategic & International Studies, Inc.",46385166.0,0.07
growth,Mercy Corps,46285774.0,0.44
health,The Aurum Institute NPC,46277102.0,0.07
health,Mologic Limited,46172088.0,0.07
education,Khan Academy Inc.,46000000.0,1.53
health,Helen Keller International,45922626.0,0.07
equality,United Nations Foundation,45884855.0,2.61
growth,The University of Edinburgh,45753005.0,0.44
growth,International Development Enterprises,45648159.0,0.44
growth,International Development Research Centre,45642552.0,0.43
health,European Commission,45636586.0,0.07
health,Merck Sharp & Dohme LLC,45549976.0,0.07
health,Quantoom Biosciences S.A.,45539936.0,0.07
growth,PRADAN,45078667.0,0.43
growth,African Fertilizer and Agribusinesses Partnership,44988541.0,0.43
health,Institut Pasteur de Dakar,44106825.0,0.07
health,The American Gift Fund,43500000.0,0.07
health,African Population & Health Research Center,43376450.0,0.07
health,BIRAC,43294353.0,0.07
health,Health Strategy & Delivery Foundation,43194951.0,0.07
health,Johns Hopkins Center for Communication Programs,43115353.0,0.07
health,The Aaron Diamond AIDS Research Center,42896523.0,0.07
health,Speak Up Africa Senegal,42442246.0,0.07
health,Project Concern International,42420195.0,0.07
health,Good Business,41955920.0,0.07
health,"University of California, Davis",41924570.0,0.07
health,International HIV/AIDS Alliance,41800000.0,0.07
growth,Biological E. Limited,41361978.0,0.39
growth,Donald Danforth Plant Science Center,41348719.0,0.39
health,"United Nations Office for Project Services, Geneva",41304166.0,0.07
growth,University of Greenwich,41274558.0,0.39
health,"University of California, Santa Barbara",41201011.0,0.07
growth,Chinese Academy of Agricultural Sciences,41184484.0,0.39
health,National Health and Family Planning Commission,40932445.0,0.07
growth,Innovations for Poverty Action,40763281.0,0.39
health,"Brigham and Women's Hospital, Inc.",40122598.0,0.06
growth,The One Campaign,40112580.0,0.38
health,Cornell University,40007794.0,0.06
growth,Digital Green,39987575.0,0.38
health,African Union Development Agency - New Partnership for Africa’s Development,39931015.0,0.06
growth,International Finance Corporation,39797000.0,0.38
health,"Comic Relief, Inc.",39550000.0,0.06
health,University of British Columbia,39440733.0,0.06
health,Center for Vaccine Development Mali (CVD-Mali),39298402.0,0.06
health,Dimagi Inc.,39255071.0,0.06
health,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,39225026.0,0.06
health,IRC International Water and Sanitation Centre,39053993.0,0.06
health,Oxitec,39044375.0,0.06
growth,Center for Global Development,38965265.0,0.37
health,"Just-Evotec Biologics, Inc.",38940836.0,0.06
health,Hospital for Sick Children,38688226.0,0.06
education,Smithsonian Institution,38500000.0,1.28
health,"Bharat Biotech International, Ltd.",38450062.0,0.06
health,Elizabeth Glaser Pediatric AIDS Foundation,37834234.0,0.06
health,African Development Bank,36566225.0,0.06
health,AJ Vaccines A/S,36537523.0,0.06
health,Tanager,36402563.0,0.06
others,Johns Hopkins University,36381096.0,1.01
health,International Livestock Research Institute,36106408.0,0.06
growth,"Synergos Institute, Inc",36029385.0,0.34
health,Agence de Médecine Préventive,36019532.0,0.06
health,VITAL Pakistan Trust,36010109.0,0.06
health,National Cancer Institute,35974657.0,0.06
health,"Lyndra Therapeutics, Inc.",35803267.0,0.06
health,Concern Worldwide U S INC,35739465.0,0.06
health,Northwestern University,35704335.0,0.06
health,Centers for Disease Control and Prevention,35409203.0,0.06
equality,African Development Bank,35315000.0,2.01
growth,Global Impact,35252306.0,0.34
health,University of Greenwich,35067165.0,0.06
others,The Barack Obama Foundation,35000000.0,0.97
health,"ACCESS Health International, Inc.",34951152.0,0.06
growth,University of Oxford,34887591.0,0.33
health,Janssen Vaccines & Prevention B.V.,34865410.0,0.06
health,International AIDS Society (IAS),34838795.0,0.06
growth,Ethiopian Agricultural Transformation Agency,34274995.0,0.33
others,The Education Trust Inc.,34222335.0,0.95
growth,International Labour Organization,34221598.0,0.33
health,Assistance Coordination Unit (ACU),34119747.0,0.05
health,"University of Georgia Research Foundation, Inc.",33990915.0,0.05
health,African Society for Laboratory Medicine NPC,33950723.0,0.05
health,Audere,33947809.0,0.05
health,Global Citizen,33938925.0,0.05
growth,Purdue University,33903244.0,0.32
health,"Communicable Disease Threats Initiative, Incorporating Asia Pacific Leaders Malaria Alliance",33818057.0,0.05
growth,Columbia University,33743631.0,0.32
growth,MSC Global Consulting Private Limited,33709042.0,0.32
growth,World Health Organization,33700820.0,0.32
growth,United States Fund for UNICEF,33632667.0,0.32
education,African Agricultural Technology Foundation,33433608.0,1.12
health,Africa Resource Centre NPC,33289063.0,0.05
health,The Walter and Eliza Hall Institute of Medical Research,33201950.0,0.05
health,Particles for Humanity,33144354.0,0.05
health,RIGHT Foundation,33136959.0,0.05
health,"Fraunhofer USA, Inc.",33057975.0,0.05
growth,Regional Universities Forum for Capacity Building in Agriculture,32927778.0,0.31
education,"Online Computer Library Center, Inc.",32810876.0,1.09
growth,Grameen Foundation USA,32487964.0,0.31
education,American Library Association,32480522.0,1.08
growth,University of Texas at Austin,32473449.0,0.31
health,Joint United Nations Programme on HIV/AIDS,32402996.0,0.05
health,CIDRZ,32271920.0,0.05
growth,ODI Global,32230502.0,0.31
equality,Institute for Financial Management and Research,32221976.0,1.83
growth,PT. Bio Farma (Persero),32204506.0,0.31
health,World Health Organization India Country Office,32194972.0,0.05
health,Univercells,32169499.0,0.05
education,Ministry of Information and Communications of Vietnam,31828384.0,1.06
others,Ursuline Academy of Dallas,31800000.0,0.88
health,Ifakara Health Institute,31657854.0,0.05
health,World Health Partners,31417489.0,0.05
growth,World Cocoa Foundation,31329066.0,0.3
growth,PATH,31119420.0,0.3
health,Wellcome Sanger Institute,31063617.0,0.05
others,"Financial Sector Deepening, Kenya",31000000.0,0.86
equality,CARE,30828699.0,1.75
others,Jhpiego Corporation,30802674.0,0.85
health,International Rice Research Institute,30727010.0,0.05
growth,World Poultry Foundation,30660858.0,0.29
health,Genesis Analytics,30644617.0,0.05
health,African Capacity Building Foundation,30640792.0,0.05
health,Child Health Research Foundation (CHRF),30450568.0,0.05
health,International Medical Corps,30120753.0,0.05
education,Polish-American Freedom Foundation,30000093.0,1.0
growth,Smithsonian Institution,30000000.0,0.29
health,International Development Research Centre,29973969.0,0.05
health,White Ribbon Alliance,29756652.0,0.05
education,Consejo Nacional para la Cultura y Las Artes,29400529.0,0.98
health,Cincinnati Children's Hospital Medical Center,29289334.0,0.05
education,Eastside Preparatory School,29196751.0,0.97
health,National Health Commission of the People’s Republic of China,29085344.0,0.05
others,Centre for Humanitarian Dialogue,28872344.0,0.8
health,Critical Path Institute,28727826.0,0.05
health,Statens Serum Institut,28669701.0,0.05
education,CARE,28494146.0,0.95
health,USAID,28435132.0,0.05
health,Global Health Council,28396812.0,0.05
others,Alliance for Financial Inclusion,28325947.0,0.79
health,Penn State,28308392.0,0.05
education,Columbia University,28102492.0,0.94
others,Centro Internacional de Mejoramiento de Maiz y Trigo,28049561.0,0.78
health,Asian Development Bank,28023741.0,0.05
growth,IDinsight,27983252.0,0.27
health,Tampere University,27970895.0,0.05
health,"Otsuka Pharmaceutical Development & Commercialization, Inc.",27837980.0,0.04
growth,University of Queensland,27722707.0,0.26
growth,International Institute for Environment and Development,27687100.0,0.26
health,Alere Inc.,27562850.0,0.04
health,Tufts University,27363771.0,0.04
health,"Schrödinger, LLC",27361869.0,0.04
health,Colorado State University,27074920.0,0.04
education,The Aspen Institute Inc,26986966.0,0.9
health,"International Planned Parenthood Worldwide, Inc.",26879287.0,0.04
health,Structural Genomics Consortium,26877682.0,0.04
equality,United States Fund for UNICEF,26806934.0,1.52
health,Sonder Collective,26754639.0,0.04
others,AIDS Vaccine Advocacy Coalition Inc.,26705868.0,0.74
education,Harvard University,26669304.0,0.89
health,National Institute of Allergy and Infectious Diseases,26665947.0,0.04
health,Pact Institute,26612823.0,0.04
health,University of York,26606147.0,0.04
health,GHP Solutions LLC,26597451.0,0.04
growth,University of Cambridge,26511479.0,0.25
health,Family Care International,26312163.0,0.04
health,World Lung Foundation,26284974.0,0.04
health,Health Research Operations Kenya Limited,26118055.0,0.04
growth,Land O'Lakes Venture37,26101476.0,0.25
health,Aerogen Pharma Limited,26088008.0,0.04
growth,The McKnight Foundation,26006931.0,0.25
health,Dr. Reddy's Formulations Ltd,25923039.0,0.04
health,BRAC,25845406.0,0.04
health,Nutrition International,25828887.0,0.04
health,The Henry J. Kaiser Family Foundation,25810056.0,0.04
health,BioNTech SE,25764722.0,0.04
health,Serum Institute of India,25763556.0,0.04
growth,Brookings Institution,25757716.0,0.25
health,Center for Global Development,25202438.0,0.04
health,Georgia Tech Research Corporation,25184226.0,0.04
health,Hindustan Latex Family Planning Promotion Trust,25094797.0,0.04
health,Southeast Asia Tobacco Control Alliance,25027578.0,0.04
education,Central Square Foundation,25014476.0,0.83
growth,Washington State University,25000000.0,0.24
others,Resolve to Save Lives,25000000.0,0.69
education,Lakeside School,25000000.0,0.83
others,The McKnight Foundation,24961405.0,0.69
growth,Friedrich-Alexander-University Erlangen-Nuremberg,24896058.0,0.24
others,Candid,24545000.0,0.68
health,University of Toronto,24507182.0,0.04
others,United Way of King County,24328300.0,0.67
growth,Friends of Recovery Cafe,24314600.0,0.23
health,The George Washington University,24284096.0,0.04
health,South African Medical Research Council,24103747.0,0.04
health,Cardiff University,24100453.0,0.04
growth,"Enclude, Ltd.",24080983.0,0.23
growth,Meridian Institute,24043961.0,0.23
growth,National Science Foundation,24000000.0,0.23
growth,Sahel Consulting Agriculture & Nutrition Limited,23919578.0,0.23
health,Oxfam-America Inc,23840274.0,0.04
health,Kymab Limited,23811353.0,0.04
health,Fund for the Global Fund,23799887.0,0.04
health,The INCLEN Trust International,23703243.0,0.04
health,"Cooper Smith Global, LLC",23651807.0,0.04
growth,"Micron Biomedical, Inc.",23631796.0,0.23
health,Concept Foundation,23603841.0,0.04
health,Voluntary Health Services,23601557.0,0.04
health,Max Planck Society for the Advancement of Science,23560046.0,0.04
growth,BAIF Development Research Foundation,23424634.0,0.22
growth,Michigan State University,23364634.0,0.22
others,The Aspen Institute Inc,23287301.0,0.65
equality,United Nations Development Programme,23275767.0,1.32
health,MedinCell SA,23273996.0,0.04
health,National Institute of Child Health and Human Development,23262662.0,0.04
health,"Takeda Pharmaceutical Company, Ltd",22942125.0,0.04
growth,"Results for Development Institute, Inc.",22819804.0,0.22
equality,International Fund for Agricultural Development,22655186.0,1.29
health,Health Systems Trust,22458959.0,0.04
health,Panorama Global,22400942.0,0.04
equality,GSMA Mobile for Development Foundation Inc.,22333078.0,1.27
health,"The Centre for Health Research and Development, Society for Applied Studies",22257343.0,0.04
health,Impact Global Health Limited,22246561.0,0.04
health,IPRD Solutions Inc,22189380.0,0.04
health,University of Birmingham,22173587.0,0.04
health,Partnership for Supply Chain Management Inc,22076056.0,0.04
health,"Microchips Biotech, Inc.",22005475.0,0.04
health,Pan American Health and Education Foundation,21957421.0,0.04
health,Vaccine Formulation Institute (CH) Ltd,21753981.0,0.04
growth,Stichting IFLA Global Libraries,21750000.0,0.21
education,National Academy of Sciences,21687500.0,0.72
growth,Tanager,21575918.0,0.21
health,McMaster University,21502763.0,0.03
education,"Data Quality Campaign, Inc.",21455554.0,0.72
health,"Bill, Hillary & Chelsea Clinton Foundation",21284586.0,0.03
growth,World Agroforestry Centre,21281166.0,0.2
health,Africa Harvest Biotech Foundation International,21247265.0,0.03
health,University of Nairobi,21217514.0,0.03
growth,Global Alliance for Improved Nutrition,21179119.0,0.2
growth,GSMA Mobile for Development Foundation Inc.,21109308.0,0.2
health,"The Center for Disease Dynamics, Economics & Policy, Inc.",21107675.0,0.03
health,Action Contre La Faim,21063231.0,0.03
education,International Bank for Reconstruction and Development,21058534.0,0.7
health,"ModernaTX, Inc.",21035987.0,0.03
growth,Seattle Art Museum,21000000.0,0.2
health,Seattle Children's Hospital,20952845.0,0.03
health,Sanaria Inc,20949155.0,0.03
education,Carnegie Mellon University,20947110.0,0.7
health,Quidel Corporation,20912487.0,0.03
health,University of Michigan,20811440.0,0.03
health,Center for Advancing Public Health,20704587.0,0.03
health,"Guttmacher Institute, Inc.",20687855.0,0.03
growth,World Savings Banks Institute,20540400.0,0.2
health,Centro Internacional de Mejoramiento de Maiz y Trigo,20513559.0,0.03
growth,Duke University,20455444.0,0.19
health,Natural History Museum,20442586.0,0.03
health,CGD Europe,20429271.0,0.03
health,King's College London,20405856.0,0.03
growth,Université Félix Houphouët-Boigny,20348065.0,0.19
growth,GRID3 Inc,20300000.0,0.19
health,Chinese Association of STD & AIDS Prevention and Control,20254819.0,0.03
health,International Institute of Tropical Agriculture,20236570.0,0.03
equality,"Rockefeller Philanthropy Advisors, Inc.",20109144.0,1.14
health,Capital for Good,20023028.0,0.03
others,African Capacity Building Foundation,20019853.0,0.56
education,Claremont McKenna College,20000000.0,0.67
others,Bloomberg Philanthropies,20000000.0,0.55
others,Food and Agriculture Organization of the United Nations,19845987.0,0.55
health,National Primary Health Care Development Agency,19788735.0,0.03
education,Cornell University,19741409.0,0.66
health,Universidad Peruana Cayetano Heredia,19707294.0,0.03
others,"Friends of the Global Fight Against AIDS, Tuberculosis and Malaria",19700000.0,0.55
health,"National Public Radio, Inc.",19672737.0,0.03
growth,Mennonite Economic Development Associates,19661287.0,0.19
growth,Massachusetts Institute of Technology,19629847.0,0.19
growth,"World Council of Credit Unions, Inc.",19612703.0,0.19
health,"University of Kansas Center for Research, Inc.",19609849.0,0.03
health,Stellenbosch University,19584414.0,0.03
health,Global Alliance to Prevent Prematurity and Stillbirth,19582995.0,0.03
health,Nigerian Institute of Medical Research,19548108.0,0.03
health,Science for Africa Foundation (SFA),19496683.0,0.03
growth,Cambridge University Development Office in the United States Inc (CUDOUS),19449000.0,0.19
growth,CSIRO,19402372.0,0.18
health,"Micron Biomedical, Inc.",19332426.0,0.03
health,Michigan State University,19257792.0,0.03
health,Peking University,19248989.0,0.03
growth,Strathmore University,19181702.0,0.18
equality,MasterCard Labs Kenya Holdings Pte LTD,19121072.0,1.09
growth,African Union Development Agency - New Partnership for Africa’s Development,19027016.0,0.18
health,University of Wisconsin,19021840.0,0.03
health,BRAC USA,19018819.0,0.03
health,Ethiopia Federal Ministry of Health,19000000.0,0.03
growth,Ethiopian Institute of Agricultural Research,18849677.0,0.18
equality,World Agroforestry Centre,18817317.0,1.07
health,Treatment Action Group,18748559.0,0.03
others,United States Fund for UNICEF,18738930.0,0.52
health,Sunflower Therapeutics PBC,18699217.0,0.03
growth,Netherlands Institute of Ecology,18697666.0,0.18
health,"International Center for Journalists, Inc.",18677040.0,0.03
growth,"AgBiome, Inc.",18675217.0,0.18
growth,One Acre Fund,18648179.0,0.18
health,Global HIV Vaccine Enterprise,18608441.0,0.03
equality,Women in Informal Employment: Globalizing & Organizing (WIEGO),18546822.0,1.05
health,InSupply Health Limited,18529023.0,0.03
health,Magee-Women's Research Institute and Foundation,18463079.0,0.03
health,African Academy of Sciences,18398152.0,0.03
health,Plan USA,18380753.0,0.03
growth,"Resourced, Inc.",18330356.0,0.17
health,The One Campaign / RED,18270000.0,0.03
others,United Nations Foundation,18237897.0,0.51
health,WASH Institute,18229282.0,0.03
health,"University of California, Los Angeles",18163488.0,0.03
health,International Potato Center,18104273.0,0.03
health,Innovations for Poverty Action,18087249.0,0.03
health,Cranfield University,18049315.0,0.03
health,Administrative Staff College of India,18041335.0,0.03
health,Evestra,18038359.0,0.03
growth,Global Citizen,18034322.0,0.17
growth,Africa Rice Center,17973456.0,0.17
health,The Aspen Institute Inc,17906858.0,0.03
growth,London School of Hygiene and Tropical Medicine,17897435.0,0.17
health,WaterAid America Inc.,17893261.0,0.03
education,Ministry of Culture of the Republic of Latvia,17841000.0,0.6
health,Center on Budget and Policy Priorities,17829037.0,0.03
health,University of Florida,17592707.0,0.03
education,Seattle Art Museum,17565000.0,0.59
health,CanSino Biologics Inc.,17559936.0,0.03
growth,Global Communities,17537899.0,0.17
health,Nagasaki University Institute of Tropical Medicine,17535120.0,0.03
